    n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, heap_cmp, heap_swaps, heap_time
  104,           140,              39,             56,       766,         156,        323,     1139,        665,       644
  105,           141,              39,             56,       729,         155,        314,     1150,        673,       651
  106,           142,              39,             55,       699,         154,        306,     1164,        679,       654
  107,           144,              40,             57,       827,         159,        382,     1178,        690,       662
  108,           147,              42,             58,       773,         159,        327,     1193,        698,       683
  109,           148,              42,             58,       833,         158,        342,     1207,        704,       673
  110,           149,              42,             58,       873,         161,        342,     1216,        712,       728
  111,           150,              42,             57,       945,         168,        368,     1231,        720,       676
  112,           153,              44,             58,       862,         160,        341,     1241,        722,       713
  113,           154,              44,             60,       804,         168,        331,     1257,        732,       767
  114,           155,              44,             61,       996,         170,        382,     1270,        744,       695
  115,           157,              45,             61,       779,         176,        335,     1284,        751,       701
  116,           159,              46,             61,       995,         167,        378,     1298,        760,       768
  117,           161,              47,             79,       896,         167,        360,     1312,        765,       714
  118,           162,              47,             62,       947,         171,        372,     1324,        773,       760
  119,           163,              47,             63,       855,         179,        356,     1338,        781,       801
  120,           164,              47,             63,       857,         167,        347,     1348,        789,       738
  121,           165,              47,             62,      1027,         172,        390,     1362,        795,       742
  122,           166,              47,             64,       935,         182,        374,     1380,        807,       755
  123,           167,              47,             97,      1000,         179,        389,     1392,        813,       760
  124,           169,              48,             64,      1053,         185,        446,     1401,        812,       861
  125,           170,              48,             64,      1040,         171,        412,     1416,        824,       812
  126,           171,              48,             65,      1316,         181,        466,     1430,        836,       782
  127,           172,              48,             65,      1001,         179,        389,     1448,        844,       791
  128,           174,              49,             67,       916,         187,        375,     1457,        851,       847
  129,           175,              49,             67,       952,         179,        430,     1473,        863,       844
  130,           178,              51,             69,       960,         189,        422,     1488,        871,       852
  131,           179,              51,             68,      1176,         203,        513,     1508,        883,       916
  132,           180,              51,            104,      1024,         193,        407,     1525,        889,       837
  133,           182,              52,             86,      1052,         198,        417,     1537,        897,       885
  134,           183,              52,             70,      1058,         193,        413,     1555,        906,       889
  135,           184,              52,             70,      1012,         205,        410,     1567,        912,       861
  136,           186,              53,             72,      1041,         207,        423,     1579,        923,       923
  137,           189,              55,             71,      1195,         209,        462,     1599,        928,       886
  138,           190,              55,             90,       930,         198,        426,     1615,        939,       885
  139,           192,              56,             73,      1101,         212,        514,     1632,        950,       895
  140,           193,              56,             74,      1221,         200,        461,     1648,        958,       931
  141,           194,              56,             75,      1041,         208,        425,     1662,        966,       976
  142,           195,              56,             75,      1087,         205,        430,     1674,        972,       910
  143,           196,              56,             76,      1103,         223,        449,     1693,        982,       920
  144,           197,              56,             75,      1149,         217,        569,     1708,        990,       946
  145,           200,              58,             77,      1252,         210,        473,     1721,       1000,       937
  146,           204,              61,             79,      1171,         211,        457,     1736,       1009,       950
  147,           205,              61,             80,      1061,         215,        435,     1751,       1019,       955
  148,           206,              61,             80,      1096,         220,        445,     1769,       1025,       970
  149,           207,              61,             80,      1253,         219,        481,     1786,       1034,      1010
  150,           208,              61,             80,      1357,         224,        556,     1801,       1044,      1063
  151,           209,              61,             80,      1128,         222,        495,     1818,       1054,      1026
  152,           210,              61,             82,      1362,         223,        509,     1825,       1054,      1076
  153,           211,              61,             82,      1080,         210,        450,     1842,       1066,      1069
  154,           213,              62,             81,      1248,         222,        485,     1855,       1073,      1009
  155,           214,              62,             82,      1331,         228,        504,     1876,       1087,      1112
  156,           215,              62,            135,      1131,         229,        458,     1895,       1099,      1032
  157,           216,              62,             82,      1297,         222,        494,     1910,       1103,      1122
  158,           217,              62,             82,      1342,         224,        508,     1930,       1115,      1086
  159,           219,              63,             84,      1368,         232,        519,     1942,       1122,      1089
  160,           220,              63,            130,      1280,         232,        497,     1952,       1128,      1061
  161,           224,              66,             86,      1413,         240,        580,     1967,       1135,      1212
  162,           228,              69,             89,      1196,         240,        545,     1989,       1148,      1082
  163,           229,              69,             88,      1299,         247,        516,     2002,       1156,      1224
  164,           230,              69,             89,      1291,         229,        538,     2020,       1166,      1098
  165,           231,              69,             88,      1323,         239,        511,     2032,       1176,      1143
  166,           232,              69,             90,      1448,         238,        582,     2050,       1184,      1234
  167,           233,              69,             90,      1313,         239,        543,     2063,       1193,      1127
  168,           236,              71,             90,      1336,         246,        562,     2075,       1199,      1167
  169,           237,              71,             91,      1539,         258,        587,     2096,       1207,      1143
  170,           238,              71,             92,      1476,         255,        602,     2109,       1217,      1149
  171,           239,              71,             93,      1366,         258,        555,     2128,       1229,      1273
  172,           240,              71,             93,      1812,         248,        644,     2140,       1237,      1166
  173,           241,              71,             93,      1537,         260,        581,     2157,       1243,      1177
  174,           242,              71,             93,      1390,         255,        545,     2172,       1253,      1185
  175,           244,              72,            111,      1338,         250,        563,     2187,       1262,      1200
  176,           247,              74,             95,      1436,         262,        677,     2205,       1274,      1384
  177,           249,              75,             95,      1407,         262,        550,     2222,       1279,      1290
  178,           250,              75,             96,      1473,         272,        578,     2232,       1289,      1219
  179,           251,              75,             96,      1322,         262,        535,     2251,       1297,      1228
  180,           253,              76,             96,      1437,         259,        562,     2263,       1304,      1267
  181,           256,              78,             99,      1565,         262,        745,     2284,       1314,      1418
  182,           259,              80,            101,      1507,         268,        619,     2294,       1324,      1286
  183,           261,              81,            101,      1437,         278,        608,     2311,       1337,      1338
  184,           262,              81,            101,      1528,         267,        591,     2332,       1341,      1304
  185,           263,              81,            101,      1586,         283,        784,     2347,       1353,      1394
  186,           264,              81,            122,      1579,         272,        602,     2360,       1361,      1285
  187,           266,              82,            104,      1665,         270,        626,     2378,       1368,      1309
  188,           268,              83,            105,      1504,         276,        589,     2392,       1377,      1343
  189,           271,              85,            105,      1472,         278,        579,     2407,       1383,      1355
  190,           274,              87,            106,      1764,         285,        762,     2422,       1395,      1374
  191,           275,              87,            108,      1523,         289,        639,     2441,       1402,      1328
  192,           276,              87,            107,      1727,         282,        684,     2455,       1412,      1486
  193,           277,              87,            107,      1551,         292,        608,     2469,       1414,      1422
  194,           278,              87,            109,      1569,         282,        617,     2484,       1424,      1457
  195,           279,              87,            108,      1558,         292,        614,     2501,       1434,      1398
  196,           280,              87,            110,      1545,         293,        633,     2516,       1446,      1406
  197,           281,              87,            108,      1705,         289,        685,     2533,       1452,      1376
  198,           282,              87,            110,      1762,         295,        666,     2548,       1464,      1504
  199,           283,              87,            108,      1794,         297,        691,     2566,       1474,      1400
  200,           284,              87,            110,      2021,         293,        725,     2583,       1478,      1519
  201,           285,              87,            110,      1566,         297,        620,     2598,       1488,      1410
  202,           286,              87,            111,      1797,         296,        731,     2613,       1498,      1571
  203,           287,              87,            112,      1650,         303,        648,     2629,       1504,      1500
  204,           288,              87,            111,      1730,         297,        656,     2643,       1514,      1435
  205,           290,              88,            110,      1694,         295,        650,     2659,       1521,      1514
  206,           293,              90,            114,      1683,         294,        688,     2673,       1529,      1568
  207,           294,              90,            134,      1736,         316,        675,     2691,       1539,      1463
  208,           295,              90,            115,      1603,         302,        637,     2702,       1549,      1719
  209,           297,              91,            115,      1644,         312,        651,     2718,       1556,      1544
  210,           300,              93,            115,      1932,         304,        748,     2733,       1568,      1601
  211,           303,              95,            118,      1772,         311,        689,     2750,       1576,      1503
  212,           306,              97,            120,      1779,         322,        697,     2765,       1584,      1512
  213,           307,              97,            121,      1594,         325,        654,     2782,       1593,      1514
  214,           308,              97,            121,      1809,         320,        697,     2802,       1603,      1709
  215,           309,              97,            121,      1863,         336,        751,     2815,       1609,      1564
  216,           310,              97,            120,      1809,         324,        701,     2831,       1621,      1609
  217,           311,              97,            121,      1942,         320,        723,     2840,       1625,      1623
  218,           312,              97,            120,      1959,         323,        744,     2861,       1635,      1666
  219,           313,              97,            122,      1901,         329,        809,     2876,       1643,      1575
  220,           314,              97,            157,      1736,         314,        674,     2894,       1655,      1614
  221,           315,              97,            120,      1735,         330,        688,     2905,       1661,      1621
  222,           317,              98,            124,      2387,         336,        951,     2920,       1671,      1591
  223,           318,              98,            124,      2014,         337,        763,     2940,       1679,      1598
  224,           319,              98,            123,      2072,         344,        780,     2953,       1688,      1678
  225,           320,              98,            123,      2100,         329,        831,     2971,       1696,      1804
  226,           321,              98,            124,      1874,         342,        728,     2984,       1705,      1732
  227,           322,              98,            125,      1929,         334,        739,     3004,       1715,      1690
  228,           325,             100,            126,      1911,         332,        732,     3019,       1724,      1677
  229,           330,             104,            129,      2025,         337,        772,     3036,       1732,      1759
  230,           331,             104,            130,      2003,         358,        769,     3047,       1740,      1698
  231,           332,             104,            129,      2147,         336,        793,     3065,       1748,      1664
  232,           333,             104,            130,      1964,         339,        749,     3075,       1757,      1681
  233,           334,             104,            199,      2039,         339,        807,     3093,       1763,      1712
  234,           335,             104,            131,      2208,         341,        806,     3103,       1771,      1684
  235,           336,             104,            132,      2122,         352,        797,     3126,       1780,      1695
  236,           339,             106,            133,      2378,         354,        902,     3142,       1790,      1941
  237,           341,             107,            135,      2295,         363,        846,     3157,       1801,      1755
  238,           344,             109,            135,      2223,         362,        827,     3172,       1809,      1762
  239,           345,             109,            140,      2123,         359,        828,     3186,       1819,      1867
  240,           346,             109,            140,      2290,         351,        912,     3195,       1825,      1735
  241,           347,             109,            137,      2333,         356,        882,     3213,       1828,      1840
  242,           348,             109,            136,      2137,         358,        804,     3231,       1846,      1763
  243,           349,             109,            190,      1956,         370,        871,     3247,       1854,      1798
  244,           350,             109,            137,      2377,         370,       1015,     3261,       1862,      1773
  245,           351,             109,            135,      2108,         365,        808,     3272,       1868,      1780
  246,           353,             110,            137,      2143,         356,        829,     3290,       1877,      1932
  247,           355,             111,            137,      2572,         369,        948,     3307,       1886,      1795
  248,           357,             112,            138,      2337,         376,        908,     3320,       1890,      1866
  249,           360,             114,            139,      2166,         367,        828,     3337,       1903,      1958
  250,           361,             114,            139,      2350,         384,        874,     3352,       1915,      1886
  251,           362,             114,            140,      2198,         368,        829,     3369,       1919,      1832
  252,           364,             115,            176,      2558,         378,        916,     3386,       1927,      1956
  253,           365,             115,            141,      2563,         372,        995,     3402,       1935,      1880
  254,           366,             115,            176,      2428,         388,        894,     3411,       1948,      1891
  255,           368,             116,            162,      2153,         384,       3025,     3431,       1953,      7848
  256,           371,             118,            144,      2441,         385,        944,     3445,       1965,      2039
  257,           374,             120,            148,      2233,         380,        844,     3469,       1979,      1920
  258,           377,             122,            149,      2810,         378,       1040,     3488,       1995,      1900
  259,           378,             122,            147,      2287,         393,        871,     3506,       2003,      2017
  260,           379,             122,            149,      2100,         383,        818,     3522,       2011,      1963
  261,           380,             122,            150,      2538,         387,        926,     3535,       2012,      2019
  262,           381,             122,            148,      2194,         389,        896,     3552,       2025,      2040
  263,           382,             122,            150,      2490,         388,        953,     3577,       2039,      1944
  264,           383,             122,            150,      2148,         387,        875,     3589,       2046,      1984
  265,           384,             122,            152,      2329,         403,        885,     3613,       2058,      2116
  266,           386,             123,            186,      2583,         404,        950,     3628,       2069,      2065
  267,           387,             123,            153,      2353,         394,        888,     3644,       2072,      2018
  268,           388,             123,            152,      2716,         390,        983,     3660,       2085,      2138
  269,           389,             123,            153,      2509,         404,        927,     3676,       2089,      1996
  270,           390,             123,            153,      2446,         390,       1031,     3696,       2105,      2042
  271,           391,             123,            153,      2287,         398,        963,     3713,       2111,      2152
  272,           392,             123,            154,      2596,         396,        985,     3728,       2121,      2190
  273,           393,             123,            153,      2527,         402,        939,     3747,       2132,      2102
  274,           394,             123,            155,      2464,         425,        984,     3767,       2142,      2197
  275,           395,             123,            156,      2551,         410,        980,     3784,       2150,      2189
  276,           396,             123,            155,      2496,         398,        927,     3804,       2168,      2168
  277,           397,             123,            156,      2390,         404,        969,     3823,       2176,      2096
  278,           398,             123,            157,      2665,         403,        975,     3837,       2182,      2096
  279,           399,             123,            156,      2534,         404,        951,     3855,       2188,      2173
  280,           402,             125,            157,      2531,         406,       1059,     3863,       2196,      2276
  281,           407,             129,            159,      2569,         423,        974,     3883,       2204,      2185
  282,           408,             129,            177,      2567,         412,        958,     3903,       2214,      2271
  283,           409,             129,            162,      2641,         420,        984,     3925,       2228,      2452
  284,           410,             129,            161,      2581,         416,       1011,     3941,       2241,      2209
  285,           413,             131,            199,      3171,         429,       1160,     3961,       2251,      2287
  286,           414,             131,            163,      2584,         426,        970,     3977,       2261,      2206
  287,           415,             131,            164,      2553,         428,       1043,     3993,       2269,      2278
  288,           417,             132,            166,      2619,         428,       1056,     4006,       2274,      2247
