    n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, heap_cmp, heap_swaps, heap_time
  586,           836,             253,            681,      6750,         878,       4917,     9402,       5242,     10563
  587,           837,             253,            682,      6481,         887,       4770,     9424,       5254,     10661
  588,           839,             254,            687,      6432,         865,       4773,     9440,       5265,     10664
  589,           840,             254,            687,      6432,         883,       4766,     9454,       5269,     10610
  590,           841,             254,            690,      7275,         873,       5149,     9473,       5281,     10668
  591,           842,             254,            688,      6143,         877,       4593,     9499,       5293,     10713
  592,           843,             254,            697,      6482,         882,       4915,     9524,       5309,     10841
  593,           844,             254,            744,      6681,         895,       4887,     9543,       5321,     10756
  594,           845,             254,            699,      6420,         884,       4806,     9560,       5330,     10859
  595,           847,             255,            707,      6554,         882,       4845,     9586,       5350,     12176
  596,           849,             256,            730,      6900,         871,       5313,     9595,       5355,     11452
  597,           850,             256,            734,      6470,         890,       5058,     9616,       5362,     11454
  598,           851,             256,            731,      5972,         903,       4818,     9639,       5375,     11493
  599,           852,             256,            738,      6438,         893,       5051,     9657,       5381,     11455
  600,           854,             257,            735,      6482,         890,       5095,     9680,       5390,     11502
  601,           855,             257,            734,      6642,         897,       5160,     9693,       5396,     11519
  602,           856,             257,            740,      6442,         882,       4986,     9720,       5420,     11538
  603,           857,             257,            737,      6708,         883,       5142,     9741,       5436,     11659
  604,           859,             258,            737,      6588,         882,       5117,     9760,       5447,     11615
  605,           862,             260,            747,      6157,         942,       4975,     9780,       5453,     11641
  606,           866,             263,            745,      6163,         878,       4861,     9799,       5466,     11667
  607,           867,             263,            745,      6599,         898,       5126,     9819,       5476,     11764
  608,           868,             263,            751,      6754,         889,       5179,     9841,       5486,     11713
  609,           869,             263,            752,      6371,         911,       5015,     9858,       5495,     11821
  610,           870,             263,            750,      7133,         900,       5382,     9874,       5503,     11740
  611,           871,             263,            752,      6523,         909,       5115,     9893,       5512,     11745
  612,           872,             263,            754,      6245,         920,       5002,     9912,       5526,     11821
  613,           873,             263,            752,      6577,         908,       5148,     9933,       5528,     11891
  614,           874,             263,            755,      6637,         922,       5147,     9953,       5546,     11885
  615,           875,             263,            754,      7796,         897,       5814,     9977,       5560,     11865
  616,           876,             263,            755,      7034,         910,       5468,     9995,       5570,     14056
  617,           877,             263,            930,      6649,         938,       5751,    10016,       5583,     12651
  618,           878,             263,            795,      6703,         917,       5555,    10030,       5586,     12675
  619,           879,             263,            800,      6582,         921,       5453,    10054,       5595,     12654
  620,           880,             263,            797,      6424,         934,       5420,    10075,       5619,     12716
  621,           882,             264,            808,      7574,         906,       6004,    10097,       5624,     12738
  622,           883,             264,            806,      7176,         922,       5781,    10116,       5636,     12757
  623,           884,             264,            813,      6789,         937,       5620,    10132,       5640,     13002
  624,           885,             264,            807,      7345,         929,       5952,    10149,       5652,     12829
  625,           886,             264,            810,      6132,         896,       5210,    10171,       5664,     12857
  626,           889,             266,            809,      6696,         914,       5525,    10192,       5686,     12894
  627,           890,             266,            820,      6911,         918,       5680,    10204,       5680,     12934
  628,           891,             266,            811,      7314,         910,       5876,    10231,       5698,     12922
  629,           892,             266,            811,      7170,         939,       5901,    10248,       5702,     12965
  630,           893,             266,            816,      7044,         935,       5791,    10268,       5714,     12939
  631,           894,             266,            821,      6726,         938,       5579,    10291,       5726,     12950
  632,           897,             268,            818,      7305,         923,       5904,    10310,       5734,     13023
  633,           899,             269,            822,      6614,         948,       5549,    10334,       5750,     13095
  634,           900,             269,            822,      6808,         922,       5619,    10341,       5755,     13150
  635,           901,             269,            825,      6466,         934,       5472,    10370,       5769,     13072
  636,           902,             269,            821,      6651,         938,       5535,    10384,       5779,     13065
  637,           903,             269,            822,      6682,         945,       5577,    10407,       5789,     13088
  638,           904,             269,            822,      7017,         951,       5796,    10423,       5799,     13145
  639,           906,             270,            830,      6434,         950,       5469,    10440,       5810,     13165
  640,           907,             270,            835,      7519,         957,       6155,    10465,       5822,     13180
  641,           909,             271,            827,      6944,         947,       5790,    10483,       5832,     13171
  642,           910,             271,            830,      7393,         942,       6012,    10499,       5839,     13208
  643,           911,             271,            831,      7263,         960,       5929,    10518,       5851,     13516
  644,           912,             271,            913,      7116,         951,       6252,    10534,       5864,     14368
  645,           913,             271,            886,      7116,         976,       6467,    10560,       5874,     14502
  646,           914,             271,            886,      7058,         984,       6510,    10573,       5886,     14156
  647,           915,             271,            883,      7035,         967,       6186,    10591,       5890,     14198
  648,           918,             273,            899,      6956,         966,       6137,    10615,       5903,     14220
  649,           919,             273,            892,      7218,         950,       6338,    10633,       5915,     14208
  650,           920,             273,            890,      7391,         957,       6381,    10652,       5931,     14287
  651,           922,             274,            901,      7335,         957,       6555,    10675,       5935,     14390
  652,           923,             274,            903,      7169,         971,       6272,    10690,       5941,     14330
  653,           924,             274,            893,      7539,         970,       6530,    10711,       5953,     14354
  654,           925,             274,            894,      6831,         964,       6069,    10728,       5971,     14355
  655,           926,             274,            895,      6937,         956,       6088,    10748,       5975,     14384
  656,           927,             274,            900,      7177,         958,       6274,    10772,       5985,     14387
  657,           929,             275,            904,      7182,         964,       6264,    10790,       6003,     14425
  658,           933,             278,            906,      7032,         968,       6180,    10808,       6012,     14468
  659,           934,             278,            907,      7728,         984,       6643,    10835,       6026,     14501
  660,           935,             278,            904,      6819,         963,       6067,    10844,       6033,     14503
  661,           936,             278,            910,      6988,         980,       6197,    10859,       6039,     14492
  662,           937,             278,            923,      7092,         992,       6307,    10881,       6049,     14560
  663,           939,             279,           1097,      6737,         979,       7266,    10903,       6064,     16159
  664,           940,             279,            970,      7137,         996,       6757,    10917,       6066,     15560
  665,           944,             282,            975,      7071,         977,       6632,    10938,       6075,     15629
  666,           945,             282,            969,      7469,         994,       6905,    10967,       6098,     15642
  667,           946,             282,            987,      7609,         986,       6962,    10977,       6105,     15626
  668,           947,             282,            983,      6955,        1004,       6626,    11004,       6126,     15729
  669,           948,             282,            980,      7704,         993,       7115,    11023,       6128,     15789
  670,           949,             282,            981,      7231,        1004,       6786,    11044,       6148,     15808
  671,           950,             282,            995,      7471,         998,       6949,    11066,       6152,     15795
  672,           951,             282,            987,      7213,         974,       6772,    11083,       6166,     15859
  673,           952,             282,            994,      7129,         977,       6700,    11108,       6174,     15821
  674,           953,             282,            997,      6887,        1004,       6583,    11113,       6172,     15925
  675,           955,             283,            987,      7618,        1015,       7072,    11141,       6187,     15965
  676,           957,             284,           1046,      7434,        1002,       7094,    11161,       6202,     15946
  677,           958,             284,            989,      6996,         994,       6643,    11186,       6214,     16065
  678,           959,             284,            989,      7400,        1021,       6971,    11198,       6224,     15998
  679,           960,             284,            994,      7517,        1001,       7021,    11231,       6243,     16047
  680,           963,             286,            995,      7757,        1018,       7144,    11245,       6249,     16082
  681,           964,             286,            995,      7012,        1006,       6698,    11259,       6255,     16059
  682,           965,             286,           1000,      8383,        1003,       7632,    11285,       6273,     16131
  683,           966,             286,           1002,      7515,        1003,       6962,    11301,       6281,     16136
  684,           968,             287,           1000,      7622,        1018,       7127,    11322,       6294,     16176
  685,           969,             287,           1007,      6934,        1010,       6620,    11346,       6304,     16220
  686,           970,             287,           1002,      8287,        1024,       7814,    11364,       6316,     16564
  687,           971,             287,           1001,      7488,        1009,       7139,    11384,       6330,     16650
  688,           972,             287,            998,      7013,        1032,       6701,    11397,       6338,     16274
  689,           973,             287,           1003,      7562,        1003,       7030,    11417,       6348,     16257
  690,           974,             287,           1000,      8129,        1024,       7415,    11440,       6363,     16304
  691,           978,             290,           1009,      7300,        1022,       6878,    11460,       6376,     16365
  692,           981,             292,           1011,      7868,        1023,       7316,    11476,       6378,     16406
  693,           982,             292,           1024,      7354,        1028,       6944,    11501,       6392,     16429
  694,           983,             292,           1009,      7620,        1037,       7117,    11516,       6398,     16443
  695,           984,             292,           1022,      9330,        1042,       8225,    11536,       6410,     16502
  696,           985,             292,           1019,      7688,        1011,       7096,    11552,       6422,     17361
  697,           989,             295,           1100,      7529,        1036,       7562,    11576,       6435,     17645
  698,           992,             297,           1102,      7952,        1047,       7847,    11589,       6442,     18079
  699,           993,             297,           1119,      8239,        1019,       8066,    11610,       6452,     17804
  700,           994,             297,           1104,      7419,        1046,       7553,    11626,       6460,     17794
  701,           995,             297,           1104,      7156,        1047,       7329,    11653,       6468,     17945
  702,           998,             299,           1108,      7541,        1062,       8355,    11672,       6484,     18962
  703,          1001,             301,           1129,      7113,        1045,       7370,    11693,       6492,     17853
  704,          1002,             301,           1118,      8655,        1039,       9020,    11719,       6518,     17967
  705,          1003,             301,           1113,      8106,        1037,       7959,    11735,       6522,     18009
  706,          1005,             302,           1118,      7660,        1058,       7689,    11751,       6525,     17971
  707,          1006,             302,           1124,      8085,        1041,       7906,    11769,       6535,     17992
  708,          1008,             303,           1142,      7845,        1047,       7807,    11789,       6546,     18293
  709,          1010,             304,           1130,      8225,        1054,       8089,    11810,       6563,     18047
  710,          1011,             304,           1127,      7562,        1033,       7606,    11834,       6577,     18128
  711,          1012,             304,           1130,      7706,        1059,       7735,    11852,       6579,     18106
  712,          1013,             304,           1136,      7437,        1066,       7603,    11857,       6585,     18157
  713,          1014,             304,           1131,      8607,        1064,       8447,    11877,       6593,     18296
  714,          1015,             304,           1121,      7849,        1063,       7907,    11908,       6613,     18219
  715,          1017,             305,           1150,      8375,        1063,       8295,    11927,       6618,     18231
  716,          1018,             305,           1127,      9142,        1050,       8786,    11947,       6638,     18313
  717,          1019,             305,           1146,      7587,        1049,       7645,    11969,       6648,     18395
  718,          1020,             305,           1131,      7967,        1072,       8016,    11987,       6660,     18349
  719,          1021,             305,           1133,      7273,        1055,       7535,    12007,       6669,     18597
  720,          1022,             305,           1160,      8518,        1066,       8354,    12021,       6675,     18424
  721,          1024,             306,           1160,      7217,        1074,       7457,    12038,       6682,     19132
  722,          1027,             308,           1252,      7921,        1077,       8546,    12053,       6696,     18571
  723,          1029,             309,           1153,      7700,        1084,       7834,    12078,       6711,     18518
  724,          1030,             309,           1140,      8222,        1077,       8145,    12095,       6717,     18575
  725,          1031,             309,           1147,      7749,        1085,       7843,    12125,       6737,     18582
  726,          1032,             309,           1153,      7917,        1076,       7926,    12139,       6741,     18642
  727,          1034,             310,           1159,      8405,        1078,       8287,    12159,       6752,     18629
  728,          1037,             312,           1154,      8936,        1050,       8831,    12178,       6764,     18537
  729,          1038,             312,           1151,      8155,        1079,       8548,    12194,       6768,     18687
  730,          1039,             312,           1157,      8262,        1087,       8158,    12208,       6778,     18654
  731,          1040,             312,           1152,      7587,        1065,       7702,    12242,       6792,     18715
  732,          1043,             314,           1171,      7817,        1069,       7866,    12257,       6804,     18751
  733,          1044,             314,           1168,      8902,        1076,       8611,    12275,       6814,     18860
  734,          1045,             314,           1169,      8094,        1102,       8174,    12309,       6838,     18831
  735,          1046,             314,           1165,      7728,        1085,       7870,    12327,       6844,     18886
  736,          1048,             315,           1177,      8717,        1109,       8571,    12338,       6853,     20916
  737,          1049,             315,           1181,      8503,        1101,       8494,    12354,       6863,     18979
  738,          1050,             315,           1187,      7921,        1095,       8031,    12382,       6883,     19333
  739,          1054,             318,           1194,      8026,        1110,       8397,    12403,       6891,     19256
  740,          1055,             318,           1175,      9004,        1086,       8744,    12420,       6901,     19004
  741,          1056,             318,           1188,      8567,        1103,       8515,    12442,       6907,     19029
  742,          1058,             319,           1180,      8498,        1111,       8464,    12465,       6926,     19064
  743,          1060,             320,           1175,      8067,        1113,       8147,    12481,       6925,     19036
  744,          1062,             321,           1194,      8555,        1129,       8505,    12496,       6944,     19160
  745,          1063,             321,           1187,      7975,        1104,       8068,    12512,       6950,     19191
  746,          1064,             321,           1181,      8028,        1098,       8093,    12538,       6958,     19148
  747,          1066,             322,           1192,      7822,        1118,       7990,    12561,       6973,     19224
  748,          1067,             322,           1186,      8336,        1092,       8306,    12580,       6983,     19325
  749,          1068,             322,           1185,      9084,        1113,       8861,    12597,       6993,     19511
  750,          1069,             322,           1219,      8346,        1154,       8543,    12616,       7005,     19849
  751,          1071,             323,           1234,      9385,        1111,       9724,    12638,       7010,     20985
  752,          1074,             325,           1288,      9138,        1119,       9684,    12657,       7028,     21052
  753,          1076,             326,           1303,     10054,        1127,      10315,    12676,       7035,     21028
  754,          1078,             327,           1323,      8507,        1133,       9242,    12693,       7049,     21423
  755,          1079,             327,           1357,      8490,        1113,       9282,    12708,       7057,     21399
  756,          1080,             327,           1317,      8074,        1138,       8878,    12730,       7075,     21092
  757,          1081,             327,           1302,      9084,        1118,       9491,    12746,       7081,     21399
  758,          1084,             329,           1330,      8115,        1127,       8825,    12766,       7089,     21197
  759,          1085,             329,           1297,      8906,        1139,       9528,    12785,       7101,     21122
  760,          1086,             329,           1302,      8874,        1143,       9411,    12813,       7117,     21341
  761,          1088,             330,           1317,      9879,        1150,      10160,    12827,       7121,     21238
  762,          1090,             331,           1332,      8276,        1154,       9049,    12853,       7138,     21259
  763,          1091,             331,           1323,      8592,        1140,       9258,    12865,       7146,     21367
  764,          1092,             331,           1307,      7786,        1145,       8639,    12876,       7156,     21340
  765,          1094,             332,           1326,      8090,        1118,       9222,    12907,       7163,     21418
  766,          1096,             333,           1326,      8828,        1146,      10112,    12920,       7176,     21445
  767,          1097,             333,           1343,      8253,        1134,       8993,    12948,       7188,     23148
  768,          1098,             333,           1543,      8814,        1163,       9480,    12971,       7203,     21582
  769,          1100,             334,           1336,      9963,        1139,      10350,    12990,       7213,     20292
  770,          1102,             335,           1257,      9405,        1163,       9164,    13004,       7224,     20124
  771,          1104,             336,           1231,      8707,        1152,       8713,    13025,       7233,     20034
  772,          1108,             339,           1237,      8769,        1148,       8849,    13044,       7246,     20101
  773,          1109,             339,           1252,      8608,        1120,       8584,    13070,       7257,     20152
  774,          1110,             339,           1242,      9320,        1152,       9152,    13089,       7270,     20250
  775,          1111,             339,           1246,      8911,        1146,       8843,    13105,       7278,     20574
  776,          1112,             339,           1244,      7789,        1140,       8102,    13130,       7286,     20153
  777,          1114,             340,           1249,      8798,        1167,       8783,    13148,       7303,     20147
  778,          1115,             340,           1246,      8070,        1163,       8256,    13164,       7308,     20265
  779,          1116,             340,           1269,      8203,        1145,       8349,    13186,       7323,     20753
  780,          1117,             340,           1243,      8444,        1185,       8536,    13205,       7329,     20184
  781,          1118,             340,           1248,      8699,        1146,       8637,    13225,       7349,     20176
  782,          1119,             340,           1249,      8866,        1176,       8849,    13243,       7355,     20249
  783,          1120,             340,           1248,      8437,        1189,       8530,    13264,       7367,     20262
  784,          1123,             342,           1259,      9049,        1161,       8969,    13284,       7375,     20866
  785,          1124,             342,           1409,      9876,        1185,       9559,    13298,       7379,     20662
  786,          1125,             342,           1261,      8670,        1157,       8666,    13322,       7399,     20370
  787,          1126,             342,           1255,      8522,        1182,       8583,    13339,       7407,     20399
  788,          1127,             342,           1256,      9633,        1180,       9327,    13358,       7413,     20422
  789,          1128,             342,           1255,      8841,        1170,       8722,    13381,       7423,     20474
  790,          1129,             342,           1267,      8649,        1210,       8664,    13398,       7441,     20448
  791,          1130,             342,           1258,      8740,        1181,       8742,    13420,       7454,     20476
  792,          1132,             343,           1261,      9076,        1176,       8922,    13441,       7457,     20494
  793,          1135,             345,           1268,      8976,        1190,       8958,    13461,       7463,     20816
  794,          1136,             345,           1355,      9055,        1161,       8967,    13484,       7480,     20735
  795,          1137,             345,           1273,      8469,        1192,       8597,    13498,       7491,     20615
  796,          1138,             345,           1269,      9104,        1205,       9025,    13520,       7512,     20681
  797,          1139,             345,           1274,      9051,        1194,       8982,    13538,       7519,     20689
  798,          1140,             345,           1276,      9357,        1172,       9197,    13558,       7530,     25369
  799,          1141,             345,           2676,      9364,        1191,       9189,    13577,       7541,     20752
  800,          1144,             347,           1291,      9065,        1178,       8975,    13598,       7551,     20768
  801,          1145,             347,           1282,      8234,        1189,       8412,    13619,       7560,     20803
  802,          1146,             347,           1278,      8763,        1180,       8784,    13639,       7575,     20792
  803,          1147,             347,           1284,      9366,        1205,       9229,    13664,       7577,     20953
  804,          1149,             348,           1299,      8999,        1185,       8939,    13687,       7590,     21049
  805,          1150,             348,           1283,      9039,        1194,       9007,    13700,       7602,     20905
  806,          1151,             348,           1292,      8528,        1200,       8652,    13718,       7614,     20990
  807,          1152,             348,           1296,      9286,        1211,       9137,    13735,       7623,     21023
  808,          1154,             349,           1295,      9378,        1205,       9243,    13753,       7630,     21176
  809,          1155,             349,           1309,     10196,        1193,       9801,    13769,       7636,     21029
  810,          1156,             349,           1299,      8542,        1188,       8654,    13796,       7651,     21072
  811,          1157,             349,           1294,      8980,        1218,       9008,    13815,       7658,     21503
  812,          1158,             349,           1294,      9942,        1188,       9658,    13832,       7676,     21237
  813,          1159,             349,           1347,      8625,        1226,       8771,    13857,       7692,     21172
  814,          1161,             350,           1301,      9128,        1197,       9077,    13876,       7701,     22215
  815,          1163,             351,           1333,      9790,        1216,       9664,    13894,       7712,     21351
  816,          1167,             354,           1306,      9726,        1205,       9508,    13913,       7722,     21302
  817,          1168,             354,           1307,     10364,        1205,       9950,    13935,       7732,     21292
  818,          1169,             354,           1318,      8842,        1217,       8962,    13953,       7748,     21383
  819,          1170,             354,           1310,     11402,        1208,      10615,    13974,       7750,     21390
  820,          1171,             354,           1304,      9380,        1211,       9269,    13993,       7768,     21429
  821,          1172,             354,           1315,      8918,        1228,       8990,    14009,       7772,     21452
  822,          1173,             354,           1317,      8864,        1228,       8965,    14028,       7786,     21491
  823,          1174,             354,           1306,      8710,        1229,       8857,    14054,       7802,     21577
  824,          1175,             354,           1323,      8636,        1202,       8753,    14068,       7808,     21718
  825,          1176,             354,           1315,      9384,        1219,       9334,    14091,       7817,     21550
  826,          1177,             354,           1324,      9685,        1198,       9540,    14113,       7835,     21686
  827,          1178,             354,           1316,     10235,        1215,       9818,    14134,       7840,     21606
  828,          1179,             354,           1313,      9017,        1256,       9144,    14156,       7854,     29895
  829,          1180,             354,           1329,     10271,        1203,       9977,    14172,       7866,     21674
  830,          1181,             354,           1338,     10441,        1229,      10108,    14192,       7880,     21724
  831,          1183,             355,           1314,      9642,        1250,       9571,    14216,       7891,     21784
  832,          1186,             357,           1327,      9711,        1225,       9559,    14226,       7888,     21794
  833,          1187,             357,           1328,      8880,        1227,       8977,    14251,       7908,     21836
  834,          1188,             357,           1338,      9772,        1240,       9589,    14266,       7914,     22078
  835,          1189,             357,           1320,      9825,        1235,       9723,    14290,       7931,     21865
  836,          1190,             357,           1324,      9405,        1267,       9383,    14307,       7943,     21984
  837,          1191,             357,           1324,      9993,        1242,       9827,    14323,       7944,     21952
  838,          1192,             357,           1332,      8851,        1237,       8977,    14337,       7950,     21943
  839,          1193,             357,           1327,      8878,        1233,       8941,    14372,       7973,     21529
  840,          1194,             357,           1251,      9058,        1239,       8550,    14381,       7980,     20567
  841,          1195,             357,           1241,      8921,        1267,       8466,    14408,       7986,     20646
  842,          1197,             358,           1238,      9638,        1256,       8897,    14425,       8003,     20614
  843,          1198,             358,           1245,      8977,        1259,       8534,    14447,       8008,     20913
  844,          1201,             360,           1299,      9445,        1237,       8835,    14471,       8029,     21001
  845,          1202,             360,           1248,      8668,        1264,       8614,    14484,       8038,     22174
  846,          1203,             360,           1362,     10420,        1294,      10547,    14506,       8052,     22645
  847,          1204,             360,           1345,     10485,        1265,      10254,    14528,       8061,     22235
  848,          1206,             361,           1348,     10393,        1258,      10059,    14550,       8063,     22362
  849,          1207,             361,           1347,      9107,        1238,       9174,    14570,       8079,     22313
  850,          1208,             361,           1347,      9043,        1275,       9225,    14585,       8090,     22346
  851,          1209,             361,           1345,      9334,        1259,       9336,    14609,       8106,     22429
  852,          1210,             361,           1360,      9633,        1272,       9620,    14623,       8113,     22430
  853,          1211,             361,           1353,      9355,        1250,       9323,    14646,       8131,     22407
  854,          1213,             362,           1351,     10120,        1259,       9917,    14665,       8139,     22535
  855,          1214,             362,           1361,      9445,        1259,       9436,    14686,       8151,     22547
  856,          1218,             365,           1367,      9999,        1280,       9847,    14707,       8163,     22589
  857,          1219,             365,           1378,      9635,        1262,      10004,    14717,       8161,     30869
  858,          1220,             365,           1369,     10356,        1264,      10082,    14742,       8179,     22591
  859,          1221,             365,           1376,     10781,        1268,      10497,    14763,       8189,     22650
  860,          1222,             365,           1362,      9486,        1268,       9501,    14781,       8195,     22674
  861,          1223,             365,           1367,     10254,        1276,      10053,    14804,       8210,     22603
  862,          1224,             365,           1381,      9268,        1282,       9403,    14824,       8223,     27190
  863,          1225,             365,           1377,     10968,        1255,      10592,    14846,       8232,     25761
  864,          1226,             365,           1369,      9841,        1303,       9817,    14864,       8237,     22729
  865,          1227,             365,           1368,      9659,        1291,       9724,    14882,       8250,     22605
  866,          1228,             365,           1373,     10483,        1282,      10269,    14895,       8261,     22746
  867,          1229,             365,           1375,      9493,        1274,       9439,    14921,       8276,     22836
  868,          1230,             365,           1373,     10271,        1295,      10101,    14941,       8289,     22921
  869,          1231,             365,           1367,      9368,        1275,       9428,    14963,       8299,     21634
  870,          1232,             365,           1288,     10239,        1284,       9404,    14979,       8310,     21414
  871,          1234,             366,           1277,      9835,        1300,       9088,    15002,       8318,     26087
  872,          1235,             366,           1286,      9483,        1297,      11120,    15015,       8321,     23187
  873,          1239,             369,           1300,      9501,        1282,       8924,    15041,       8333,     21461
  874,          1240,             369,           1283,      9114,        1260,       8623,    15055,       8348,     21460
  875,          1241,             369,           1284,      9763,        1283,       9053,    15075,       8360,     21442
  876,          1243,             370,           1288,      9645,        1306,       9008,    15088,       8366,     21692
  877,          1244,             370,           1293,      9537,        1268,       8891,    15119,       8384,     21561
  878,          1245,             370,           1293,      9862,        1302,       9117,    15138,       8394,     21608
  879,          1246,             370,           1301,     10443,        1285,       9515,    15159,       8409,     21656
  880,          1247,             370,           1298,      9196,        1316,       8786,    15173,       8416,     21725
  881,          1249,             371,           1308,     10110,        1331,       9370,    15192,       8423,     21671
  882,          1250,             371,           1300,     10864,        1317,       9902,    15215,       8436,     21771
  883,          1251,             371,           1299,      9492,        1282,       8892,    15230,       8440,     21789
  884,          1252,             371,           1326,     10351,        1329,       9558,    15252,       8454,     21861
  885,          1255,             373,           1314,     10721,        1313,       9755,    15266,       8460,     29815
  886,          1256,             373,           1306,     12111,        1340,      10700,    15290,       8472,     21866
  887,          1257,             373,           1299,     10324,        1303,       9574,    15317,       8488,     21973
  888,          1258,             373,           1318,     10472,        1328,      11474,    15324,       8495,     23594
  889,          1259,             373,           1395,     10540,        1310,       9694,    15345,       8505,     21826
  890,          1261,             374,           1312,      9414,        1323,       8982,    15363,       8518,     22045
  891,          1263,             375,           1320,      9888,        1314,       9201,    15386,       8523,     22406
  892,          1266,             377,           1333,      9222,        1315,       8918,    15404,       8533,     21999
  893,          1267,             377,           1318,      9934,        1303,       9253,    15426,       8546,     22008
  894,          1268,             377,           1320,     10807,        1335,       9879,    15446,       8567,     22160
  895,          1269,             377,           1325,     11368,        1327,      10142,    15462,       8571,     22091
  896,          1270,             377,           1329,     11495,        1341,      10320,    15479,       8577,     22098
  897,          1271,             377,           1334,      9333,        1311,       8866,    15509,       8590,     22250
  898,          1272,             377,           1316,     10975,        1327,       9881,    15530,       8608,     22154
  899,          1273,             377,           1322,     10056,        1315,       9268,    15546,       8616,     22310
  900,          1274,             377,           1324,      9755,        1336,       9242,    15565,       8629,     22997
  901,          1275,             377,           1322,     10047,        1333,       9481,    15591,       8640,     22706
  902,          1276,             377,           1350,     10260,        1354,       9565,    15603,       8657,     22413
  903,          1278,             378,           1327,     11887,        1342,      10659,    15620,       8656,     22348
  904,          1279,             378,           1334,     11013,        1340,      10062,    15638,       8669,     22355
  905,          1282,             380,           1334,     10731,        1337,      10050,    15657,       8681,     22479
  906,          1286,             383,           1335,     12184,        1324,      10733,    15678,       8688,     22343
  907,          1287,             383,           1356,      9801,        1350,       9331,    15697,       8697,     22491
  908,          1288,             383,           1341,     10501,        1361,       9729,    15717,       8711,     22418
  909,          1289,             383,           1358,     11766,        1342,      10574,    15740,       8730,     22517
  910,          1292,             385,           1362,     10169,        1343,       9435,    15759,       8740,     22664
  911,          1295,             387,           1351,     11010,        1367,      10078,    15777,       8748,     22547
  912,          1296,             387,           1368,     10534,        1343,       9739,    15794,       8753,     22706
  913,          1297,             387,           1360,     10447,        1322,       9616,    15823,       8773,     30631
  914,          1298,             387,           1382,     10894,        1346,       9903,    15837,       8780,     22675
  915,          1299,             387,           1350,     10205,        1356,       9530,    15861,       8791,     22776
  916,          1300,             387,           1352,     10180,        1360,       9603,    15881,       8800,     22763
  917,          1301,             387,           1365,     10313,        1360,       9603,    15896,       8805,     22785
  918,          1302,             387,           1356,     11223,        1373,      10211,    15919,       8819,     22831
  919,          1303,             387,           1371,     10951,        1357,       9966,    15941,       8837,     22904
  920,          1304,             387,           1359,     10068,        1352,       9459,    15960,       8847,     22928
  921,          1305,             387,           1356,     10590,        1361,       9812,    15978,       8855,     23159
  922,          1308,             389,           1365,     12159,        1370,      10815,    15994,       8867,     22952
  923,          1312,             392,           1375,     12125,        1365,      10834,    16020,       8874,     23014
  924,          1313,             392,           1363,     10679,        1369,       9855,    16032,       8886,     22871
  925,          1314,             392,           1370,     11090,        1361,      10176,    16058,       8895,     23065
  926,          1315,             392,           1368,     10712,        1360,       9876,    16071,       8904,     22932
  927,          1318,             394,           1380,     10928,        1369,      10033,    16098,       8925,     23029
  928,          1322,             397,           1374,     10599,        1361,       9773,    16118,       8933,     23762
  929,          1323,             397,           1378,     10846,        1406,      10182,    16134,       8946,     23356
  930,          1324,             397,           1393,     10220,        1392,       9624,    16156,       8955,     23169
  931,          1325,             397,           1386,     10081,        1393,       9528,    16174,       8966,     23183
  932,          1326,             397,           1386,     10032,        1377,       9481,    16194,       8973,     23217
  933,          1327,             397,           1387,      9959,        1365,       9381,    16217,       8987,     23112
  934,          1328,             397,           1384,     12395,        1400,      11072,    16235,       8995,     23303
  935,          1329,             397,           1400,     10762,        1380,       9902,    16257,       9009,     23324
  936,          1331,             398,           1385,     10943,        1369,      10048,    16273,       9017,     23181
  937,          1332,             398,           1406,     11073,        1375,      10108,    16292,       9029,     23688
  938,          1333,             398,           1395,     11611,        1401,      10621,    16308,       9037,     23316
  939,          1334,             398,           1395,     10871,        1418,      10080,    16326,       9045,     23437
  940,          1335,             398,           1388,     10479,        1361,       9713,    16344,       9056,     23428
  941,          1336,             398,           1391,     10879,        1405,      10475,    16364,       9069,     30551
  942,          1338,             399,           1407,     10426,        1396,       9760,    16378,       9078,     23463
  943,          1340,             400,           1422,     10186,        1396,       9588,    16407,       9093,     23446
  944,          1341,             400,           1399,     11532,        1403,      10501,    16433,       9104,     23595
  945,          1344,             402,           1409,     10612,        1395,      10026,    16444,       9110,     23670
  946,          1345,             402,           1412,     10505,        1407,       9809,    16466,       9123,     23737
  947,          1346,             402,           1409,     11232,        1414,      10372,    16488,       9135,     23692
  948,          1348,             403,           1407,     11416,        1404,      10494,    16506,       9147,     23696
  949,          1349,             403,           1412,     11019,        1389,      10185,    16530,       9158,     25059
  950,          1351,             404,           1412,     11724,        1430,      10726,    16553,       9175,     23693
  951,          1352,             404,           1439,     11439,        1438,      10524,    16565,       9175,     23753
