   n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, selection_cmp, selection_swaps, selection_time, heap_cmp, heap_swaps, heap_time
 678,        112372,          111701,          76931,      8699,        1991,       3777,        228826,             670,          78304,    10695,       5796,      7437
 679,        112795,          112123,          74873,      9515,        1972,       4037,        229503,             672,          77095,    10704,       5801,      6532
 680,        113421,          112748,          82958,     10162,        1967,       4066,        230181,             672,          77764,    10752,       5823,      6679
 681,        113963,          113289,          89228,      9656,        1992,       4032,        230860,             670,          77078,    10741,       5797,      7033
 682,        114072,          113397,          82916,      9709,        1952,       4093,        231540,             679,          76770,    10749,       5822,      7037
 683,        114639,          113963,          84153,      8998,        2014,       3766,        232221,             676,          83978,    10792,       5823,      6648
 684,        114762,          114085,          80340,      9328,        1983,       3923,        232903,             678,          76661,    10810,       5860,      6772
 685,        114953,          114275,          80334,      9323,        2034,       3911,        233586,             679,          79704,    10824,       5864,      6638
 686,        115095,          114416,          79530,      9722,        1997,       4440,        234270,             677,          77637,    10811,       5860,      6999
 687,        115512,          114832,          89720,      9651,        1990,       3977,        234955,             678,          79910,    10860,       5874,      6485
 688,        115868,          115187,          79342,      9509,        2010,       4071,        235641,             678,          77238,    10883,       5888,      7066
 689,        115885,          115203,          79278,     10322,        1966,       4115,        236328,             681,          80817,    10890,       5893,      6832
 690,        115963,          115280,          79209,      9328,        2077,       5353,        237016,             681,          82395,    10893,       5897,      6407
 691,        116531,          115847,          84005,      9387,        2006,       4040,        237705,             682,          78711,    10946,       5926,      6443
 692,        116627,          115942,          81754,     10003,        2056,       4154,        238395,             688,          79545,    10954,       5930,      6535
 693,        117231,          116545,          91398,      9737,        2036,       4104,        239086,             687,          88391,    10987,       5935,      6348
 694,        117646,          116959,          81364,      9256,        2065,       5605,        239778,             684,          80272,    10969,       5942,      7260
 695,        117673,          116985,          85079,      9000,        2082,       4049,        240471,             688,          82387,    10963,       5931,      7345
 696,        117729,          117040,          81332,     10110,        2043,       4085,        241165,             692,          86598,    11004,       5938,      6472
 697,        118198,          117508,          83742,      9953,        2050,       4090,        241860,             691,          83062,    11045,       5978,      7730
 698,        118329,          117638,          83906,     11290,        2013,       4466,        242556,             691,          78036,    11044,       5994,      7199
 699,        118606,          117914,          90239,     10331,        2012,       4077,        243253,             687,          84884,    11075,       5985,      6915
 700,        118708,          118015,          82257,      9587,        2055,       3975,        243951,             692,          84682,    11098,       6012,      6607
 701,        118739,          118045,          83772,     10769,        2030,       4326,        244650,             693,          80071,    11120,       6012,      6933
 702,        119102,          118407,          84437,      9551,        2074,       3791,        245350,             693,          84498,    11115,       6009,      6474
 703,        119269,          118573,          80275,      9524,        2069,       4668,        246051,             692,          83540,    11156,       6037,      9210
 704,        119495,          118798,          91639,      9546,        2057,       3944,        246753,             695,          81193,    11162,       6029,      7295
 705,        120049,          119351,          97441,      9664,        2076,       4063,        247456,             698,          84137,    11175,       6040,      6621
 706,        120551,          119852,          81878,      9696,        2057,       3819,        248160,             701,          81744,    11200,       6053,      6731
 707,        121247,          120547,          84126,     10020,        2019,       4285,        248865,             699,          85193,    11213,       6063,      6559
 708,        121867,          121166,          83631,      9507,        2094,       4352,        249571,             700,          80632,    11257,       6091,      7393
 709,        121992,          121290,          81350,      9784,        2101,       4204,        250278,             701,          80680,    11258,       6084,      6650
 710,        122078,          121375,          83137,     10135,        2049,       4220,        250986,             706,          91159,    11293,       6109,      7304
