  n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, selection_cmp, selection_swaps, selection_time, heap_cmp, heap_swaps, heap_time
 89,          2130,            2046,           1389,       709,         201,        307,          3828,              85,           1049,      877,        496,       472
 90,          2185,            2100,           1309,       740,         209,        392,          3916,              84,           1105,      892,        508,       483
 91,          2198,            2112,           1296,       760,         212,        322,          4005,              87,           1213,      906,        512,       486
 92,          2212,            2125,           1270,       802,         205,        329,          4095,              85,           1172,      919,        521,       495
 93,          2255,            2167,           1363,       829,         210,        338,          4186,              88,           1142,      925,        523,       604
 94,          2295,            2206,           1353,       833,         215,        353,          4278,              88,           1274,      942,        530,       599
 95,          2303,            2213,           1322,       877,         221,        356,          4371,              89,           1191,      958,        539,       513
 96,          2379,            2288,           1473,       828,         219,        343,          4465,              92,           1254,      969,        546,       520
 97,          2421,            2329,           1579,       929,         226,        374,          4560,              93,           1244,      985,        557,       533
 98,          2517,            2424,           1515,       917,         226,        369,          4656,              92,           1302,      997,        564,       645
 99,          2602,            2508,           1565,       884,         220,        378,          4753,              90,           1313,     1011,        570,       560
100,          2664,            2569,           1610,       868,         244,        369,          4851,              94,           1314,     1019,        577,       550
